,dateRep,cases,countriesAndTerritories,flag
72,2020-01-09,0,Afghanistan,0.0
4026,2020-01-09,0,Japan,0.0
6743,2020-01-09,0,South_Korea,0.0
7133,2020-01-09,0,Switzerland,0.0
6836,2020-01-09,0,Spain,0.0
3451,2020-01-09,0,Indonesia,0.0
833,2020-01-09,0,Belarus,0.0
4541,2020-01-09,0,Luxembourg,0.0
4643,2020-01-09,0,Malaysia,0.0
3543,2020-01-09,0,Iran,0.0
2888,2020-01-09,0,Germany,0.0
1768,2020-01-09,0,Croatia,0.0
925,2020-01-09,0,Belgium,0.0
5085,2020-01-09,0,Nepal,0.0
4330,2020-01-09,0,Lebanon,0.0
2796,2020-01-09,0,Georgia,0.0
3915,2020-01-09,0,Italy,0.0
7618,2020-01-09,0,United_Kingdom,0.0
7317,2020-01-09,0,Thailand,0.0
210,2020-01-09,0,Algeria,0.0
1255,2020-01-09,0,Cambodia,0.0
2016,2020-01-09,0,Denmark,0.0
5177,2020-01-09,0,Netherlands,0.0
6556,2020-01-09,0,Singapore,0.0
2662,2020-01-09,0,France,0.0
2296,2020-01-09,0,Egypt,0.0
4197,2020-01-09,0,Kuwait,0.0
